Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Final_Score,Predikat,Kelompok_Jam_Belajar,Kelompok_Kehadiran,Kelompok_Stres
19,Female,6.11,86.9,7.4,3.8,4.5,2.33,Yes,Offline,Good,Good,No,1,High,3.9,87.58,Baik (75-90),6-8 jam,80-90%,Sedang (3-5)
24,Male,5.71,86.4,6.7,4.8,2.6,3.68,No,Hybrid,Good,Average,No,3,Low,3.4,87.33,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
22,Female,5.93,82.9,8.9,8.6,5.8,3.48,No,Offline,Good,Average,Yes,1,Low,5.4,80.68,Baik (75-90),4-6 jam,80-90%,Sangat Tinggi (7-10)
17,Female,5.22,83.1,7.5,4.5,5.2,3.39,No,Offline,Poor,Average,No,3,Low,6.5,94.26,Sangat Baik (>90),4-6 jam,80-90%,Sedang (3-5)
22,Male,2.81,89.2,6.0,6.7,4.1,3.74,No,Offline,Average,Average,Yes,2,Middle,4.3,76.3,Baik (75-90),2-4 jam,80-90%,Tinggi (5-7)
23,Female,6.43,95.6,8.3,7.2,0.5,3.23,Yes,Hybrid,Average,Excellent,Yes,2,Middle,6.4,88.73,Baik (75-90),6-8 jam,>90%,Sangat Tinggi (7-10)
19,Female,6.43,70.3,9.3,8.8,2.8,3.23,No,Offline,Good,Average,Yes,3,Middle,1.3,97.88,Sangat Baik (>90),6-8 jam,70-80%,Sangat Tinggi (7-10)
19,Male,4.71,91.4,7.4,4.0,4.5,3.43,No,Offline,Average,Good,No,2,High,4.5,93.18,Sangat Baik (>90),4-6 jam,>90%,Sedang (3-5)
18,Male,6.46,74.2,5.8,9.2,4.3,2.54,No,Offline,Good,Average,No,1,High,4.7,65.63,Cukup (60-75),6-8 jam,70-80%,Sangat Tinggi (7-10)
24,Male,6.8,72.1,4.9,3.3,4.6,2.08,No,Offline,Good,Average,No,2,High,4.3,96.16,Sangat Baik (>90),6-8 jam,70-80%,Sedang (3-5)
18,Female,2.44,82.8,5.8,5.1,4.7,3.16,No,Offline,Average,Good,Yes,1,Middle,3.3,61.21,Cukup (60-75),2-4 jam,80-90%,Tinggi (5-7)
17,Female,4.72,82.8,9.7,8.6,6.2,3.28,No,Hybrid,Average,Good,No,3,High,1.6,97.45,Sangat Baik (>90),4-6 jam,80-90%,Sangat Tinggi (7-10)
24,Male,4.11,63.5,6.0,4.4,5.8,3.03,Yes,Online,Poor,Good,No,2,High,4.9,87.13,Baik (75-90),4-6 jam,60-70%,Sedang (3-5)
23,Male,3.19,97.3,5.5,1.0,1.8,3.35,No,Offline,Average,Good,Yes,1,High,2.7,95.65,Sangat Baik (>90),2-4 jam,>90%,Rendah (1-3)
22,Female,5.64,76.4,6.8,3.9,3.4,2.79,No,Offline,Good,Good,Yes,2,Low,3.2,94.84,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
23,Female,3.31,87.8,7.8,6.1,3.8,3.64,Yes,Online,Average,Average,Yes,3,Low,6.4,94.77,Sangat Baik (>90),2-4 jam,80-90%,Tinggi (5-7)
19,Male,4.13,84.9,6.7,10.0,4.7,4.0,No,Hybrid,Poor,Good,No,1,Low,5.1,77.27,Baik (75-90),4-6 jam,80-90%,Sangat Tinggi (7-10)
17,Male,5.49,87.0,6.6,3.4,6.2,2.55,No,Hybrid,Average,Good,No,3,High,5.5,88.19,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
20,Female,5.7,81.8,7.3,2.3,6.2,3.28,Yes,Online,Good,Poor,No,3,Middle,2.9,89.17,Baik (75-90),4-6 jam,80-90%,Rendah (1-3)
17,Male,5.64,84.0,8.5,4.5,3.6,3.3,No,Offline,Poor,Good,No,0,Middle,2.9,77.04,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
21,Male,9.47,81.7,7.6,7.1,4.4,2.67,Yes,Hybrid,Average,Poor,Yes,2,Middle,3.3,99.23,Sangat Baik (>90),> 8 jam,80-90%,Sangat Tinggi (7-10)
17,Female,3.99,77.5,6.4,5.8,4.8,3.1,Yes,Hybrid,Poor,Average,No,0,High,3.8,59.94,Kurang (<60),2-4 jam,70-80%,Tinggi (5-7)
23,Female,5.5,92.1,6.5,9.7,4.4,3.51,Yes,Online,Poor,Good,Yes,2,High,3.1,87.38,Baik (75-90),4-6 jam,>90%,Sangat Tinggi (7-10)
21,Male,2.59,82.5,7.3,5.4,4.5,3.06,Yes,Online,Good,Excellent,Yes,1,Middle,5.2,76.98,Baik (75-90),2-4 jam,80-90%,Tinggi (5-7)
21,Male,5.96,84.4,5.7,8.2,1.5,2.82,No,Hybrid,Average,Excellent,No,2,High,4.8,75.24,Baik (75-90),4-6 jam,80-90%,Sangat Tinggi (7-10)
24,Male,7.31,75.3,7.3,5.2,6.4,3.62,No,Online,Average,Poor,No,2,Middle,4.1,95.99,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
24,Male,7.43,74.6,8.7,8.1,3.3,2.91,Yes,Offline,Poor,Good,No,3,Middle,5.7,77.41,Baik (75-90),6-8 jam,70-80%,Sangat Tinggi (7-10)
21,Female,3.73,82.7,6.7,9.0,3.9,2.71,Yes,Online,Good,Good,No,1,High,3.5,70.77,Cukup (60-75),2-4 jam,80-90%,Sangat Tinggi (7-10)
20,Male,4.44,66.8,6.5,3.5,2.4,2.62,Yes,Online,Poor,Average,Yes,1,High,3.1,81.59,Baik (75-90),4-6 jam,60-70%,Sedang (3-5)
24,Female,7.52,95.2,7.5,5.8,3.0,2.43,No,Offline,Good,Good,Yes,2,Middle,1.0,93.26,Sangat Baik (>90),6-8 jam,>90%,Tinggi (5-7)
17,Female,4.81,77.1,6.0,5.0,4.3,3.54,No,Offline,Good,Good,Yes,2,Low,3.8,84.85,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
23,Male,6.92,77.7,8.7,7.0,4.0,3.14,No,Online,Average,Excellent,No,0,Low,5.5,84.08,Baik (75-90),6-8 jam,70-80%,Sangat Tinggi (7-10)
17,Male,3.06,75.9,8.3,4.1,5.0,2.4,No,Hybrid,Poor,Poor,No,0,Low,7.6,69.1,Cukup (60-75),2-4 jam,70-80%,Sedang (3-5)
20,Female,7.77,82.2,8.0,3.1,1.4,3.33,Yes,Online,Good,Average,No,2,Middle,4.0,94.11,Sangat Baik (>90),6-8 jam,80-90%,Sedang (3-5)
19,Female,7.05,86.1,7.2,6.7,2.4,2.73,No,Online,Poor,Excellent,Yes,3,Middle,6.0,91.25,Sangat Baik (>90),6-8 jam,80-90%,Tinggi (5-7)
18,Female,5.93,87.9,7.3,6.0,3.5,2.73,Yes,Hybrid,Good,Good,No,4,High,4.2,96.15,Sangat Baik (>90),4-6 jam,80-90%,Tinggi (5-7)
23,Male,3.4,74.2,7.6,5.1,5.9,2.59,Yes,Online,Average,Excellent,No,1,Middle,5.4,70.67,Cukup (60-75),2-4 jam,70-80%,Tinggi (5-7)
24,Female,4.68,69.8,5.7,5.6,2.6,3.24,No,Online,Good,Poor,No,3,Middle,3.6,81.83,Baik (75-90),4-6 jam,60-70%,Tinggi (5-7)
23,Female,5.3,79.5,6.4,4.4,2.5,3.66,No,Offline,Good,Good,No,2,Low,1.0,88.69,Baik (75-90),4-6 jam,70-80%,Sedang (3-5)
17,Female,5.53,79.6,6.6,4.9,1.9,2.96,No,Offline,Average,Good,No,1,High,5.3,97.92,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
18,Male,4.79,73.5,8.3,5.7,3.9,4.0,No,Online,Average,Poor,Yes,2,Middle,3.7,92.83,Sangat Baik (>90),4-6 jam,70-80%,Tinggi (5-7)
22,Female,4.56,93.0,9.4,5.5,0.5,2.71,Yes,Hybrid,Average,Good,Yes,1,Middle,6.1,90.3,Sangat Baik (>90),4-6 jam,>90%,Tinggi (5-7)
22,Female,5.38,70.6,6.9,1.3,3.3,2.97,No,Online,Poor,Good,Yes,3,Middle,3.0,84.33,Baik (75-90),4-6 jam,70-80%,Rendah (1-3)
24,Male,7.79,72.0,7.3,9.0,5.6,2.85,No,Hybrid,Average,Average,Yes,2,Low,7.8,88.26,Baik (75-90),6-8 jam,70-80%,Sangat Tinggi (7-10)
20,Female,0.98,90.1,7.3,5.9,3.1,2.31,Yes,Hybrid,Poor,Average,Yes,0,Low,6.3,50.57,Kurang (<60),0-2 jam,>90%,Tinggi (5-7)
22,Male,2.26,76.8,6.4,3.8,1.5,2.99,No,Offline,Poor,Good,Yes,0,Middle,3.3,85.04,Baik (75-90),2-4 jam,70-80%,Sedang (3-5)
23,Male,1.91,78.8,6.4,5.2,4.2,2.34,No,Online,Average,Good,Yes,0,Middle,6.0,55.47,Kurang (<60),0-2 jam,70-80%,Tinggi (5-7)
22,Male,3.63,72.2,7.2,5.1,2.5,2.62,No,Online,Good,Excellent,No,0,Middle,4.9,80.6,Baik (75-90),2-4 jam,70-80%,Tinggi (5-7)
19,Female,1.52,68.3,8.5,9.7,1.9,2.65,No,Offline,Average,Average,No,0,Middle,6.4,52.96,Kurang (<60),0-2 jam,60-70%,Sangat Tinggi (7-10)
19,Male,6.11,73.4,5.5,5.5,5.3,2.64,No,Hybrid,Good,Average,No,2,High,3.9,79.34,Baik (75-90),6-8 jam,70-80%,Tinggi (5-7)
24,Male,5.19,63.8,8.0,5.6,4.5,3.45,Yes,Online,Average,Excellent,Yes,0,High,1.9,80.74,Baik (75-90),4-6 jam,60-70%,Tinggi (5-7)
19,Female,4.49,87.8,5.6,8.1,3.5,3.21,Yes,Offline,Good,Excellent,Yes,2,Middle,4.4,66.15,Cukup (60-75),4-6 jam,80-90%,Sangat Tinggi (7-10)
22,Male,3.64,83.5,8.0,3.9,4.4,3.3,Yes,Offline,Average,Poor,Yes,3,Middle,5.7,87.94,Baik (75-90),2-4 jam,80-90%,Sedang (3-5)
20,Female,5.31,99.4,6.8,8.9,3.3,2.99,No,Offline,Average,Good,No,1,Middle,3.3,81.11,Baik (75-90),4-6 jam,>90%,Sangat Tinggi (7-10)
21,Female,5.36,79.8,5.7,6.4,4.6,3.1,No,Offline,Poor,Average,No,1,Low,2.5,73.73,Cukup (60-75),4-6 jam,70-80%,Tinggi (5-7)
21,Female,5.66,75.2,5.3,6.6,6.2,2.84,No,Online,Good,Poor,Yes,2,High,3.5,73.72,Cukup (60-75),4-6 jam,70-80%,Tinggi (5-7)
24,Female,3.54,90.5,6.7,6.7,7.5,3.84,No,Hybrid,Poor,Average,No,1,Middle,5.8,60.5,Cukup (60-75),2-4 jam,>90%,Tinggi (5-7)
18,Female,6.3,75.4,8.1,6.3,3.9,3.42,No,Offline,Poor,Average,Yes,0,High,3.0,87.84,Baik (75-90),6-8 jam,70-80%,Tinggi (5-7)
21,Male,2.06,90.5,6.2,4.4,5.1,2.41,Yes,Offline,Average,Excellent,No,1,High,4.2,80.0,Baik (75-90),2-4 jam,>90%,Sedang (3-5)
21,Female,7.5,75.7,7.1,2.1,4.9,2.72,No,Hybrid,Poor,Good,Yes,1,Middle,2.5,94.13,Sangat Baik (>90),6-8 jam,70-80%,Rendah (1-3)
19,Male,0.56,62.6,5.9,6.6,7.4,3.3,No,Offline,Average,Excellent,Yes,1,Low,8.5,45.95,Kurang (<60),0-2 jam,60-70%,Tinggi (5-7)
19,Female,3.81,77.2,5.8,8.1,2.3,2.36,Yes,Offline,Average,Good,No,1,Middle,7.3,51.67,Kurang (<60),2-4 jam,70-80%,Sangat Tinggi (7-10)
22,Male,2.6,77.5,6.4,4.4,1.8,3.32,No,Offline,Average,Good,No,2,Middle,7.5,87.5,Baik (75-90),2-4 jam,70-80%,Sedang (3-5)
24,Female,6.58,85.7,5.7,4.7,6.4,2.46,No,Offline,Average,Good,No,1,High,4.5,74.3,Cukup (60-75),6-8 jam,80-90%,Sedang (3-5)
18,Female,2.03,76.1,7.2,6.3,4.3,3.55,No,Offline,Poor,Excellent,No,0,Low,5.6,59.56,Kurang (<60),2-4 jam,70-80%,Tinggi (5-7)
24,Female,8.64,83.0,5.1,6.6,6.0,2.69,No,Online,Good,Good,Yes,2,Middle,5.4,96.29,Sangat Baik (>90),> 8 jam,80-90%,Tinggi (5-7)
17,Male,1.91,82.9,8.8,7.5,3.7,2.63,No,Hybrid,Average,Good,Yes,2,High,6.2,65.39,Cukup (60-75),0-2 jam,80-90%,Sangat Tinggi (7-10)
23,Male,9.06,71.9,6.3,1.0,6.6,3.16,Yes,Offline,Average,Excellent,No,2,High,2.9,85.21,Baik (75-90),> 8 jam,70-80%,Rendah (1-3)
18,Female,5.9,69.5,6.1,3.0,5.3,2.96,Yes,Hybrid,Poor,Average,No,3,Low,5.3,82.74,Baik (75-90),4-6 jam,60-70%,Sedang (3-5)
18,Female,5.06,73.1,8.2,5.5,4.9,2.26,No,Hybrid,Good,Good,No,2,High,5.2,81.21,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
20,Male,5.87,64.4,6.5,6.9,2.8,2.94,No,Offline,Poor,Excellent,Yes,2,Low,2.5,72.0,Cukup (60-75),4-6 jam,60-70%,Tinggi (5-7)
22,Female,6.79,86.7,5.9,4.6,7.5,1.83,No,Online,Good,Average,Yes,1,Middle,5.4,72.64,Cukup (60-75),6-8 jam,80-90%,Sedang (3-5)
20,Male,0.53,77.2,6.0,4.3,3.5,2.53,Yes,Hybrid,Poor,Good,No,2,High,7.9,64.56,Cukup (60-75),0-2 jam,70-80%,Sedang (3-5)
18,Female,7.39,74.0,6.0,5.0,2.8,3.83,Yes,Online,Good,Good,No,3,Middle,4.6,96.82,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
18,Female,5.46,68.8,8.9,2.0,6.1,2.76,No,Online,Average,Average,No,3,Middle,3.4,86.73,Baik (75-90),4-6 jam,60-70%,Rendah (1-3)
18,Male,1.77,86.7,4.9,10.0,3.3,2.92,Yes,Hybrid,Average,Good,No,0,Middle,5.6,50.26,Kurang (<60),0-2 jam,80-90%,Sangat Tinggi (7-10)
21,Male,6.52,90.8,7.1,10.0,1.3,3.32,No,Offline,Average,Average,Yes,1,Low,5.5,85.69,Baik (75-90),6-8 jam,>90%,Sangat Tinggi (7-10)
24,Female,2.58,59.0,9.1,5.5,3.9,3.67,Yes,Online,Good,Average,Yes,0,Middle,1.3,76.14,Baik (75-90),2-4 jam,<60%,Tinggi (5-7)
23,Female,5.36,100.0,6.2,5.4,3.8,3.3,No,Hybrid,Poor,Good,No,1,High,2.3,96.81,Sangat Baik (>90),4-6 jam,>90%,Tinggi (5-7)
23,Male,5.47,95.5,8.3,4.4,6.1,2.58,Yes,Hybrid,Average,Good,Yes,2,High,7.0,77.29,Baik (75-90),4-6 jam,>90%,Sedang (3-5)
20,Female,3.7,75.1,7.8,1.6,3.6,2.54,No,Offline,Average,Good,No,2,High,5.0,81.35,Baik (75-90),2-4 jam,70-80%,Rendah (1-3)
18,Female,6.3,80.2,7.7,6.6,3.7,3.01,No,Hybrid,Average,Good,No,2,High,2.5,95.71,Sangat Baik (>90),6-8 jam,80-90%,Tinggi (5-7)
23,Female,2.96,81.8,7.1,5.9,3.9,3.13,Yes,Offline,Good,Average,No,3,High,2.0,93.63,Sangat Baik (>90),2-4 jam,80-90%,Tinggi (5-7)
19,Male,5.38,84.1,6.6,6.8,2.3,3.21,No,Offline,Good,Average,No,2,High,5.6,85.61,Baik (75-90),4-6 jam,80-90%,Tinggi (5-7)
24,Female,3.91,76.7,6.1,8.2,1.1,2.27,Yes,Offline,Average,Poor,No,2,Low,5.6,67.02,Cukup (60-75),2-4 jam,70-80%,Sangat Tinggi (7-10)
23,Male,4.63,84.3,7.2,4.6,6.5,2.85,No,Hybrid,Poor,Average,No,3,High,3.7,89.26,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
22,Male,8.85,86.6,7.8,6.8,2.1,3.11,Yes,Offline,Poor,Good,Yes,1,Middle,4.0,97.75,Sangat Baik (>90),> 8 jam,80-90%,Tinggi (5-7)
24,Male,5.22,100.0,6.7,4.9,6.4,3.17,No,Offline,Average,Good,No,2,High,4.2,90.7,Sangat Baik (>90),4-6 jam,>90%,Sedang (3-5)
22,Female,2.83,79.6,8.2,2.0,2.5,2.67,No,Hybrid,Average,Average,No,0,Middle,4.2,88.3,Baik (75-90),2-4 jam,70-80%,Rendah (1-3)
23,Female,4.77,74.0,7.9,3.1,4.5,2.4,Yes,Online,Poor,Average,Yes,2,Middle,1.7,95.04,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
19,Male,3.46,90.2,7.4,4.8,4.3,3.31,No,Hybrid,Poor,Good,No,2,Low,3.0,81.94,Baik (75-90),2-4 jam,>90%,Sedang (3-5)
22,Female,5.05,80.0,6.6,4.4,3.4,3.25,Yes,Offline,Average,Average,No,0,Middle,5.5,84.9,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
21,Male,5.32,81.8,7.7,6.0,4.1,3.73,Yes,Hybrid,Average,Excellent,No,2,Low,4.5,95.48,Sangat Baik (>90),4-6 jam,80-90%,Tinggi (5-7)
23,Male,5.17,81.2,7.2,4.5,4.9,2.89,Yes,Hybrid,Good,Good,Yes,2,High,4.6,88.94,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
23,Female,3.91,75.9,7.3,6.2,3.8,3.42,No,Hybrid,Good,Average,Yes,1,Middle,5.6,83.88,Baik (75-90),2-4 jam,70-80%,Tinggi (5-7)
17,Male,5.9,75.7,7.8,5.3,3.2,2.39,No,Offline,Average,Good,No,0,Low,4.8,70.06,Cukup (60-75),4-6 jam,70-80%,Tinggi (5-7)
17,Female,7.11,72.9,5.5,8.6,8.5,2.55,Yes,Online,Good,Poor,No,1,Low,6.6,79.74,Baik (75-90),6-8 jam,70-80%,Sangat Tinggi (7-10)
17,Male,3.76,76.0,7.1,5.8,5.0,3.1,Yes,Online,Good,Average,No,0,Middle,4.5,65.79,Cukup (60-75),2-4 jam,70-80%,Tinggi (5-7)
22,Male,4.88,98.2,8.9,4.6,4.7,3.45,No,Offline,Average,Average,Yes,2,Middle,3.1,92.07,Sangat Baik (>90),4-6 jam,>90%,Sedang (3-5)
21,Female,5.12,79.7,7.5,3.8,3.2,3.12,No,Hybrid,Poor,Good,Yes,2,Middle,3.8,90.29,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
21,Female,7.51,72.6,8.1,7.3,3.0,3.13,No,Hybrid,Average,Good,Yes,2,Low,5.5,86.46,Baik (75-90),6-8 jam,70-80%,Sangat Tinggi (7-10)
21,Male,7.16,70.6,6.7,5.2,3.9,4.0,No,Offline,Average,Poor,Yes,2,Middle,3.8,92.33,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
19,Female,3.54,91.9,6.4,2.3,3.7,3.64,No,Online,Good,Good,No,1,High,3.9,92.05,Sangat Baik (>90),2-4 jam,>90%,Rendah (1-3)
21,Female,5.14,74.4,7.3,6.4,3.0,2.32,No,Hybrid,Average,Good,No,1,Middle,4.0,80.53,Baik (75-90),4-6 jam,70-80%,Tinggi (5-7)
19,Male,2.01,81.8,5.7,5.6,3.5,2.59,No,Hybrid,Poor,Good,Yes,1,Middle,6.5,58.8,Kurang (<60),2-4 jam,80-90%,Tinggi (5-7)
17,Female,3.07,63.4,6.6,6.8,4.8,3.04,No,Offline,Average,Average,Yes,1,Middle,6.3,54.17,Kurang (<60),2-4 jam,60-70%,Tinggi (5-7)
17,Female,5.03,60.0,9.6,6.5,4.8,3.01,No,Online,Average,Good,No,4,Middle,2.9,89.28,Baik (75-90),4-6 jam,60-70%,Tinggi (5-7)
22,Female,6.26,82.7,6.9,2.9,1.6,3.49,No,Offline,Average,Excellent,No,4,Middle,4.4,87.58,Baik (75-90),6-8 jam,80-90%,Rendah (1-3)
23,Female,6.91,63.9,6.3,6.9,1.5,3.46,Yes,Online,Poor,Poor,Yes,1,Middle,4.1,91.46,Sangat Baik (>90),6-8 jam,60-70%,Tinggi (5-7)
17,Female,4.38,82.4,8.6,2.9,4.6,2.69,No,Offline,Average,Average,Yes,1,High,8.5,75.61,Baik (75-90),4-6 jam,80-90%,Rendah (1-3)
23,Male,2.29,88.6,7.5,4.7,3.2,2.71,Yes,Offline,Average,Average,Yes,1,Low,4.3,71.33,Cukup (60-75),2-4 jam,80-90%,Sedang (3-5)
23,Female,5.79,72.1,6.4,4.3,3.6,3.57,No,Offline,Average,Average,Yes,2,Low,2.7,90.94,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
24,Female,4.65,75.2,7.0,4.3,5.5,2.4,No,Offline,Average,Average,Yes,2,Low,4.7,85.89,Baik (75-90),4-6 jam,70-80%,Sedang (3-5)
22,Male,5.85,75.8,6.8,3.5,4.7,2.79,Yes,Offline,Poor,Excellent,Yes,4,Middle,3.5,74.87,Cukup (60-75),4-6 jam,70-80%,Sedang (3-5)
18,Female,5.32,73.2,6.3,3.4,3.4,3.19,Yes,Offline,Good,Excellent,No,1,Low,2.2,92.91,Sangat Baik (>90),4-6 jam,70-80%,Sedang (3-5)
18,Female,6.43,76.2,7.2,7.8,3.2,3.2,No,Online,Good,Average,No,1,Middle,1.7,91.49,Sangat Baik (>90),6-8 jam,70-80%,Sangat Tinggi (7-10)
20,Female,6.31,75.9,7.1,1.0,4.8,3.05,No,Online,Poor,Good,Yes,4,High,2.6,94.18,Sangat Baik (>90),6-8 jam,70-80%,Rendah (1-3)
24,Male,6.69,77.9,6.4,3.1,4.3,3.44,No,Hybrid,Poor,Good,No,2,Low,2.6,94.46,Sangat Baik (>90),6-8 jam,70-80%,Sedang (3-5)
22,Male,4.08,80.6,6.6,6.2,3.7,3.23,No,Offline,Poor,Good,No,2,Middle,3.2,72.43,Cukup (60-75),4-6 jam,80-90%,Tinggi (5-7)
20,Female,6.99,85.0,8.7,1.6,4.1,3.01,Yes,Online,Poor,Good,No,3,High,3.3,95.25,Sangat Baik (>90),6-8 jam,80-90%,Rendah (1-3)
20,Male,3.99,84.5,8.9,3.3,1.1,2.98,No,Offline,Average,Average,Yes,2,Low,1.0,85.68,Baik (75-90),2-4 jam,80-90%,Sedang (3-5)
24,Female,5.17,80.6,7.2,2.2,0.5,2.91,No,Online,Average,Good,No,3,Low,4.3,96.73,Sangat Baik (>90),4-6 jam,80-90%,Rendah (1-3)
18,Male,8.72,72.6,4.2,1.8,4.3,3.35,No,Hybrid,Average,Good,No,3,Middle,3.1,90.58,Sangat Baik (>90),> 8 jam,70-80%,Rendah (1-3)
22,Male,5.71,84.9,7.0,4.4,5.4,2.92,No,Hybrid,Good,Good,Yes,2,Low,2.8,98.9,Sangat Baik (>90),4-6 jam,80-90%,Sedang (3-5)
18,Male,2.67,87.8,5.3,6.1,1.6,3.33,No,Offline,Good,Good,No,1,High,6.0,73.12,Cukup (60-75),2-4 jam,80-90%,Tinggi (5-7)
20,Male,7.98,81.5,6.4,1.0,0.7,3.9,No,Online,Poor,Average,No,3,Low,4.3,94.33,Sangat Baik (>90),6-8 jam,80-90%,Rendah (1-3)
22,Female,7.0,76.5,5.1,6.4,4.0,3.04,Yes,Online,Average,Poor,No,0,Middle,3.0,91.14,Sangat Baik (>90),6-8 jam,70-80%,Tinggi (5-7)
20,Male,7.28,100.0,9.1,4.9,3.6,3.34,Yes,Hybrid,Good,Excellent,Yes,4,Middle,4.5,92.5,Sangat Baik (>90),6-8 jam,>90%,Sedang (3-5)
21,Male,5.39,58.5,6.9,3.4,3.5,2.59,Yes,Offline,Poor,Good,Yes,1,Low,7.7,69.01,Cukup (60-75),4-6 jam,<60%,Sedang (3-5)
24,Male,5.69,86.1,8.7,4.3,3.7,2.58,No,Online,Poor,Excellent,No,2,Low,2.5,89.58,Baik (75-90),4-6 jam,80-90%,Sedang (3-5)
23,Female,4.53,82.3,4.4,5.0,4.6,1.7,No,Offline,Good,Poor,Yes,0,Low,6.2,73.6,Cukup (60-75),4-6 jam,80-90%,Tinggi (5-7)
22,Male,3.6,94.6,9.0,4.1,3.8,3.0,No,Online,Average,Good,No,1,High,2.3,90.96,Sangat Baik (>90),2-4 jam,>90%,Sedang (3-5)
22,Female,8.06,97.9,7.2,4.3,5.3,3.87,Yes,Online,Average,Good,Yes,2,Middle,5.2,97.76,Sangat Baik (>90),> 8 jam,>90%,Sedang (3-5)
23,Female,4.26,86.3,8.1,4.3,5.6,2.65,No,Offline,Poor,Excellent,No,3,Low,2.9,90.59,Sangat Baik (>90),4-6 jam,80-90%,Sedang (3-5)
20,Female,4.04,75.8,6.7,2.9,4.1,3.84,No,Online,Good,Poor,No,0,Middle,2.6,94.01,Sangat Baik (>90),4-6 jam,70-80%,Rendah (1-3)
21,Female,4.11,85.7,6.5,6.0,3.7,2.83,No,Online,Average,Average,Yes,2,Middle,6.2,82.19,Baik (75-90),4-6 jam,80-90%,Tinggi (5-7)
19,Female,8.72,69.1,4.4,8.8,3.4,2.94,Yes,Offline,Poor,Good,No,0,High,6.6,66.52,Cukup (60-75),> 8 jam,60-70%,Sangat Tinggi (7-10)
23,Female,6.76,81.0,6.6,4.2,5.2,3.71,Yes,Online,Good,Excellent,Yes,2,Middle,2.6,95.68,Sangat Baik (>90),6-8 jam,80-90%,Sedang (3-5)
24,Male,4.26,72.9,4.5,5.8,4.5,4.0,Yes,Hybrid,Average,Excellent,Yes,2,High,4.0,93.1,Sangat Baik (>90),4-6 jam,70-80%,Tinggi (5-7)
18,Male,4.91,85.0,6.5,9.3,6.0,3.64,No,Online,Average,Excellent,Yes,1,Middle,4.2,70.56,Cukup (60-75),4-6 jam,80-90%,Sangat Tinggi (7-10)
20,Male,6.02,63.4,5.2,6.0,3.9,3.93,No,Hybrid,Average,Excellent,Yes,1,High,1.4,93.73,Sangat Baik (>90),6-8 jam,60-70%,Tinggi (5-7)
23,Female,6.76,77.0,6.5,2.4,3.4,2.59,No,Hybrid,Good,Poor,Yes,3,Low,4.0,94.81,Sangat Baik (>90),6-8 jam,70-80%,Rendah (1-3)
22,Female,6.81,78.1,7.7,7.4,4.5,3.05,Yes,Hybrid,Poor,Average,Yes,1,High,3.4,77.88,Baik (75-90),6-8 jam,70-80%,Sangat Tinggi (7-10)
18,Male,4.56,77.0,7.5,3.7,2.4,3.02,No,Offline,Average,Average,Yes,2,High,6.5,82.53,Baik (75-90),4-6 jam,70-80%,Sedang (3-5)
18,Female,3.63,73.0,7.4,4.4,5.8,2.3,No,Offline,Good,Excellent,Yes,1,Middle,3.7,73.5,Cukup (60-75),2-4 jam,70-80%,Sedang (3-5)
24,Male,4.22,77.9,6.7,2.3,2.8,3.67,Yes,Offline,Average,Excellent,Yes,0,Middle,4.4,87.43,Baik (75-90),4-6 jam,70-80%,Rendah (1-3)
18,Male,6.58,94.3,5.9,3.7,3.8,2.95,No,Hybrid,Average,Average,No,3,Middle,5.9,86.05,Baik (75-90),6-8 jam,>90%,Sedang (3-5)
23,Male,8.52,74.6,7.9,6.4,5.8,3.87,No,Offline,Average,Good,Yes,1,Low,3.3,94.57,Sangat Baik (>90),> 8 jam,70-80%,Tinggi (5-7)
19,Male,5.3,67.9,7.2,6.7,2.1,2.52,No,Offline,Poor,Excellent,No,1,Low,4.0,73.76,Cukup (60-75),4-6 jam,60-70%,Tinggi (5-7)
17,Female,6.11,70.4,5.5,4.7,3.1,3.09,Yes,Hybrid,Average,Good,Yes,2,Low,4.2,93.93,Sangat Baik (>90),6-8 jam,70-80%,Sedang (3-5)
20,Male,3.37,76.1,8.5,5.1,3.6,3.5,Yes,Hybrid,Average,Average,No,1,Middle,6.3,65.81,Cukup (60-75),2-4 jam,70-80%,Tinggi (5-7)
